Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
29612309,01/01/2015 12:17:27 AM,01/01/2015 12:36:11 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10038,388 PEARL STREET,PEARL STREET,AVENUE OF THE FINEST,ST JAMES PLACE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2015 08:17:27 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2015 12:36:11 AM,03 MANHATTAN,MANHATTAN,"984,047","198,199",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71068721957259,-74.00073222713864,"(40.71068721957259, -74.00073222713864)"
29607499,01/01/2015 12:17:46 AM,01/01/2015 12:58:47 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11106,35-52 24 STREET,24 STREET,35 AVENUE,36 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,01/01/2015 08:17:46 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2015 12:58:47 AM,01 QUEENS,QUEENS,"1,002,638","215,953",Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.759398452285,-73.93362541655208,"(40.759398452285, -73.93362541655208)"
29613295,01/01/2015 12:17:48 AM,01/01/2015 03:24:48 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11217,242 FLATBUSH AVENUE,FLATBUSH AVENUE,BERGEN STREET,6 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2015 08:17:48 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2015 03:24:48 AM,06 BROOKLYN,BROOKLYN,"991,249","187,148",Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68035202521423,-73.97476587888686,"(40.68035202521423, -73.97476587888686)"
29609631,01/01/2015 12:18:49 AM,01/01/2015 03:17:11 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,565 WEST 190 STREET,WEST 190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2015 08:18:49 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2015 03:17:11 AM,12 MANHATTAN,MANHATTAN,"1,003,948","250,624",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85455791031515,-73.92879502183422,"(40.85455791031515, -73.92879502183422)"
29609882,01/01/2015 12:19:09 AM,01/01/2015 12:55:31 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,286 SOUTH STREET,SOUTH STREET,CLINTON STREET,F D R DRIVE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2015 08:19:09 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/01/2015 12:55:31 AM,03 MANHATTAN,MANHATTAN,"987,973","198,123",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7104778366638,-73.98657106854841,"(40.7104778366638, -73.98657106854841)"
29607587,01/01/2015 12:19:10 AM,01/01/2015 12:41:30 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10468,2337 GRAND CONCOURSE,GRAND CONCOURSE,EAST 183 STREET,FIELD PLACE,,,ADDRESS,BRONX,,Precinct,Closed,01/01/2015 08:19:10 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2015 12:40:56 AM,05 BRONX,BRONX,"1,012,082","252,034",Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85840604170503,-73.89938613893433,"(40.85840604170503, -73.89938613893433)"
29607990,01/01/2015 12:19:20 AM,01/01/2015 03:17:10 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,565 WEST 190 STREET,WEST 190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2015 08:19:20 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/01/2015 03:17:10 AM,12 MANHATTAN,MANHATTAN,"1,003,948","250,624",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85455791031515,-73.92879502183422,"(40.85455791031515, -73.92879502183422)"
29612340,01/01/2015 12:19:56 AM,02/24/2015 03:16:08 PM,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10009,11 STUYVESANT OVAL,STUYVESANT OVAL,BEND,1 AVENUE LOOP,,,ADDRESS,NEW YORK,,N/A,Closed,01/11/2015 12:19:56 AM,"The New York City Economic Development Corporation determined that this issue is not within its jurisdiction because the helicopter did not belong to a tour operating company. Instead, it was most likely a law enforcement or news gathering helicopter, which is not subject to the routing protocols established for tour helicopters.",02/24/2015 03:16:08 PM,06 MANHATTAN,MANHATTAN,"990,146","206,062",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73226729331666,-73.97872606208618,"(40.73226729331666, -73.97872606208618)"
29612317,01/01/2015 12:20:04 AM,01/01/2015 09:14:17 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11377,41-06 50 STREET,50 STREET,SKILLMAN AVENUE,43 AVENUE,,,ADDRESS,WOODSIDE,,Precinct,Closed,01/01/2015 08:20:04 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2015 09:14:17 AM,02 QUEENS,QUEENS,"1,007,979","211,034",Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74588432883301,-73.91436354677143,"(40.74588432883301, -73.91436354677143)"
29613244,01/01/2015 12:20:31 AM,01/01/2015 10:22:32 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11416,97-21 98 STREET,98 STREET,97 AVENUE,99 AVENUE,,,ADDRESS,OZONE PARK,,Precinct,Closed,01/01/2015 08:20:31 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,01/01/2015 10:22:32 AM,09 QUEENS,QUEENS,"1,027,487","189,450",Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.686567651102365,-73.84409916325602,"(40.686567651102365, -73.84409916325602)"
